Year;Month;Day;Hour;PM10;PM2.5;NO2;O3
2016;2;11;0;7.841559;2.397885;1.159271;42.409405;
2016;2;11;1;7.942687;2.450356;1.152330;42.365477;
2016;2;11;2;7.792197;2.428867;1.083574;42.725354;
2016;2;11;3;7.699674;2.399837;1.009743;42.976351;
2016;2;11;4;7.947357;2.475600;1.059953;42.837007;
2016;2;11;5;8.457452;2.685252;1.205725;42.783945;
2016;2;11;6;9.672644;3.347383;1.871632;42.229844;
2016;2;11;7;10.002801;3.573214;2.727144;41.710759;
2016;2;11;8;8.466027;3.196647;2.587528;42.626674;
2016;2;11;9;8.023329;3.065277;2.075026;42.880285;
2016;2;11;10;8.501740;3.224107;1.948335;42.732442;
2016;2;11;11;8.442924;3.180694;1.699014;43.174625;
2016;2;11;12;8.179599;2.981377;1.583528;43.436405;
2016;2;11;13;8.249633;2.988458;1.608612;43.901995;
2016;2;11;14;7.796312;2.819403;1.691812;43.882448;
2016;2;11;15;8.022982;2.904975;1.935649;43.564708;
2016;2;11;16;8.830684;3.263155;2.814242;42.311565;
2016;2;11;17;10.249661;3.918818;3.809230;40.797064;
2016;2;11;18;10.508344;3.987547;3.077064;41.815529;
2016;2;11;19;13.026127;4.704075;2.798683;41.149377;
2016;2;11;20;12.567127;4.558821;2.588189;41.261723;
2016;2;11;21;12.480943;4.620916;2.650557;41.140667;
2016;2;11;22;11.153653;3.807262;2.275223;41.884094;
2016;2;11;23;9.834497;2.881552;1.881156;42.502068;
2016;2;12;0;9.527105;2.830536;1.756861;42.553216;
2016;2;12;1;8.768163;2.718722;1.687919;42.831259;
2016;2;12;2;8.322065;2.505159;1.426020;43.457292;
2016;2;12;3;7.829245;2.182927;1.133338;44.113809;
2016;2;12;4;7.372992;1.974400;1.088236;44.338007;
2016;2;12;5;7.196745;2.070211;1.198036;44.438245;
2016;2;12;6;7.346762;2.837881;2.105110;43.827325;
2016;2;12;7;8.053503;3.569381;3.529872;42.310989;
2016;2;12;8;8.062379;3.526625;3.245530;42.360571;
2016;2;12;9;8.015753;3.386835;2.487001;42.649104;
2016;2;12;10;7.978958;3.204273;2.134894;43.052182;
2016;2;12;11;8.291765;3.180013;2.055765;43.328208;
2016;2;12;12;9.960206;3.618132;2.040876;43.000469;
2016;2;12;13;11.548419;4.091123;1.972310;42.926293;
2016;2;12;14;13.287340;4.489694;1.772113;42.941789;
2016;2;12;15;13.272795;4.296218;1.697764;42.951040;
2016;2;12;16;11.846359;3.579942;1.888363;42.797521;
2016;2;12;17;12.405290;3.647552;2.110290;42.260265;
2016;2;12;18;13.464045;3.969948;1.960628;42.144591;
2016;2;12;19;13.810505;4.010854;1.711393;41.846650;
2016;2;12;20;14.213981;4.050955;1.548237;41.533629;
2016;2;12;21;14.644573;4.136756;1.533723;41.227370;
2016;2;12;22;14.361142;3.821805;1.506552;41.103358;
2016;2;12;23;13.785233;3.269380;1.278860;41.215639;
2016;2;13;0;13.671143;3.154352;1.042580;41.398825;
